2	2,3,4,1,1,2,1,1,1,1,2,8,6,4,0,2
3	0,1,1,1,1,1,1,1,3,3,8,7,5,2,0,0
4	1,2,3,2,2,2,2,2,2,8,13,15,9,4,1,2
5	0,1,2,3,8,4,1,2,2,2,8,6,4,1,1,4
6	2,9,10,7,3,2,1,2,1,1,2,9,7,5,1,0
7	0,0,0,2,4,5,4,3,2,3,2,2,2,4,3,2
8	4,6,7,5,5,8,3,2,2,4,4,7,6,4,1,0
9	1,3,7,8,3,2,2,1,1,2,3,7,13,10,6,0
A2)	2,3,3,3,4,3,2,2,2,4,6,12,11,9,1,0
a	4,5,6,1,1,1,1,1,8,13,12,2,0,0,0,4
B2)	2,8,13,15,9,4,1,1,3,4,7,7,5,2,0,1
b	2,8,13,16,9,4,1,1,1,2,3,5,9,7,2,2
C2)	1,8,11,7,4,2,2,1,2,1,1,1,1,1,1,3
c	4,7,10,4,2,2,1,1,1,1,1,1,0,0,0,2
D2)	2,8,13,15,9,4,1,1,1,1,1,1,2,3,5,13
d	5,9,11,4,3,2,1,1,1,3,8,13,15,9,4,4
E2)	2,8,13,15,9,4,1,1,1,1,1,1,1,1,1,2
e	4,7,7,2,2,2,1,1,1,2,5,5,0,0,0,1
F2)	2,8,12,15,9,4,1,1,1,1,1,0,1,0,0,0
f	0,2,8,13,14,7,4,2,1,1,1,1,0,0,1,2
G2)	1,8,11,7,4,2,2,1,2,1,1,1,2,6,6,4
g	5,4,9,4,1,2,1,1,1,6,6,14,6,3,0,0
h2)	1,8,13,15,9,4,1,1,1,1,1,1,1,10,13,15
h	9,8,13,15,9,4,1,0,1,2,8,13,9,2,0,2
h_2	2,8,13,16,11,6,1,0,1,2,8,13,9,2,0,0
J2)	5,10,14,15,9,4,0,0,0,0,0,0,0,0,0,1
J	5,10,14,15,9,4,0,0,0,0,0,0,0,0,0,4
K2)	2,8,13,15,9,4,4,5,2,3,3,3,2,2,1,2
k	2,8,13,15,9,4,4,3,3,3,2,1,1,0,0,0
M2)	2,8,10,9,4,8,14,13,7,3,3,3,3,3,2,11
m	2,8,13,10,4,1,1,0,1,2,8,13,10,3,1,2
N2)	2,8,10,6,1,1,3,5,5,5,5,5,5,3,8,10
n	1,8,12,10,4,1,1,0,1,2,6,12,9,2,0,0
p	4,10,15,11,4,1,1,1,1,2,3,11,9,7,0,4
P_2	10,9,13,15,10,4,1,1,1,1,2,8,6,5,1,1
Q2)	0,8,11,7,4,2,2,1,1,1,2,3,4,2,3,5
q	15,8,11,4,2,2,1,1,1,8,13,16,10,4,0,0
R2)	2,8,13,15,10,4,1,2,4,7,5,4,7,5,1,2
r	2,8,13,10,4,1,1,1,1,1,0,0,0,0,0,0
S2)	1,1,4,6,7,2,3,2,3,7,6,3,1,0,0,2
s	1,1,3,5,6,2,2,2,6,4,2,0,0,0,0,0
T2)	0,0,1,1,1,2,8,13,15,9,4,1,1,1,1,4
t	1,7,13,16,7,4,1,1,0,0,0,0,0,0,0,2
U	0,5,12,17,9,4,1,1,1,1,0,1,2,5,8,9
V2)	0,0,4,8,11,11,9,5,2,3,3,2,3,3,2,3
v	0,6,13,13,6,3,3,2,3,3,3,2,1,0,0,2
W	0,0,7,15,17,9,4,4,3,3,4,4,4,6,15,17
X2)	1,1,1,2,3,4,7,5,6,5,5,4,2,1,0,0
x	1,2,2,3,4,7,4,4,5,4,3,2,1,1,0,0
Y2)	0,0,1,3,6,6,14,12,6,1,1,2,2,2,2,6
y	0,4,10,12,9,3,2,3,3,2,2,0,1,0,0,1
Z2)	2,4,5,3,2,2,3,3,3,3,2,2,4,3,2,2
z	2,3,4,2,2,2,2,2,1,1,3,2,2,0,0,0
